"","NOME","PARTIDO","UF"
"512","SILAS FREIRE","PR","PI"
"513","SILVIO COSTA","PTdoB","PE"
"514","SILVIO TORRES","PSDB","SP"
"515","SIMAO SESSIM","PP","RJ"
"516","SIMONE MORGADO","PMDB","PA"
"517","SORAYA SANTOS","PMDB","RJ"
"518","SOSTENES CAVALCANTE","DEM","RJ"
"519","STEFANO AGUIAR","PSD","MG"
"520","SUBTENENTE GONZAGA","PDT","MG"
"521","TADEU ALENCAR","PSB","PE"
"522","TAKAYAMA","PSC","PR"
"523","TAMPINHA","PSD","MT"
"524","TENENTE LUCIO","PSB","MG"
"525","TEREZA CRISTINA","PSB","MS"
"526","THIAGO PEIXOTO","PSD","GO"
"527","TIA ERON","PRB","BA"
"528","TIRIRICA","PR","SP"
"529","TONINHO PINHEIRO","PP","MG"
"530","TONINHO WANDSCHEER","PROS","PR"
"531","ULDURICO JUNIOR","PV","BA"
"532","VAL AMELIO","PRTB","AL"
"533","VALADARES FILHO","PSB","SE"
"534","VALDIR COLATTO","PMDB","SC"
"535","VALMIR ASSUNÇAO","PT","BA"
"536","VALMIR PRASCIDELLI","PT","SP"
"537","VALTENIR PEREIRA","PMDB","MT"
"538","VANDER LOUBET","PT","MS"
"539","VANDERLEI MACRIS","PSDB","SP"
"540","VENEZIANO VITAL DO REGO","PMDB","PB"
"541","VICENTE ARRUDA","PDT","CE"
"542","VICENTE CANDIDO","PT","SP"
"543","VICENTINHO","PT","SP"
"544","VICENTINHO JUNIOR","PR","TO"
"545","VICTOR MENDES","PSD","MA"
"546","VINICIUS CARVALHO","PRB","SP"
"547","VINICIUS GURGEL","PR","AP"
"548","VITOR LIPPI","PSDB","SP"
"549","VITOR VALIM","PMDB","CE"
"550","WADIH DAMOUS","PT","RJ"
"551","WADSON RIBEIRO","PCdoB","MG"
"552","WALDENOR PEREIRA","PT","BA"
"553","WALDIR MARANHAO","PP","MA"
"554","WALNEY ROCHA","PEN","RJ"
"555","WALTER ALVES","PMDB","RN"
"556","WASHINGTON REIS","PMDB","RJ"
"557","WELITON PRADO","PMB","MG"
"558","WELLINGTON ROBERTO","PR","PB"
"559","WEVERTON ROCHA","PDT","MA"
"560","WILLIAM WOO","PP","SP"
"561","WILSON BESERRA","PMDB","RJ"
"562","WILSON FILHO","PTB","PB"
"563","WLADIMIR COSTA","SD","PA"
"564","WOLNEY QUEIROZ","PDT","PE"
"565","ZE AUGUSTO NALIN","PMDB","RJ"
"566","ZE CARLOS","PT","MA"
"567","ZE GERALDO","PT","PA"
"568","ZE SILVA","SD","MG"
"569","ZECA CAVALCANTI","PTB","PE"
"570","ZECA DIRCEU","PT","PR"
"571","ZECA DO PT","PT","MS"
"572","ZENAIDE MAIA","PR","RN"
"573","ABELARDO CAMARINHA","PSB","SP"
"574","ABELARDO LUPION","DEM","PR"
"575","ACELINO POPO","PRB","BA"
"576","ADRIAN","PMDB","RJ"
"577","AKIRA OTSUBO","PMDB","MS"
"578","ALEXANDRE ROSO","PSB","RS"
"579","ALEXANDRE SANTOS","PMDB","RJ"
"580","ALEXANDRE SILVEIRA","PSD","MG"
"581","ALEXANDRE TOLEDO","PSB","AL"
"582","ALFREDO SIRKIS","PSB","RJ"
"583","ALINE CORREA","PP","SP"
"584","ALMEIDA LIMA","PMDB","SE"
"585","AMAURI TEIXEIRA","PT","BA"
"586","AMIR LANDO","PMDB","RO"
"587","ANDRE ZACHAROW","PMDB","PR"
"588","ANDREIA ZITO","PSDB","RJ"
"589","ANGELO AGNOLIN","PDT","TO"
"590","ANGELO VANHONI","PT","PR"
